Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,asymmetric,symmetric,0.2948893448766544
75% Corpus,3,0.01,0.01,0.2993278759064791
75% Corpus,3,0.01,0.21000000000000002,0.2970343113047247
75% Corpus,3,0.01,0.41000000000000003,0.2882750267208046
75% Corpus,3,0.01,0.6100000000000001,0.2816469457343352
75% Corpus,3,0.01,0.81,0.2811927379148686
75% Corpus,3,0.01,symmetric,0.28751145103449544
75% Corpus,3,0.21000000000000002,0.01,0.30269003415765855
75% Corpus,3,0.21000000000000002,0.21000000000000002,0.29703431130472463
75% Corpus,3,0.21000000000000002,0.41000000000000003,0.28781519749465745
75% Corpus,3,0.21000000000000002,0.6100000000000001,0.2765389536084721
75% Corpus,3,0.21000000000000002,0.81,0.2807708549908119
75% Corpus,3,0.21000000000000002,symmetric,0.29361708672699693
75% Corpus,3,0.41000000000000003,0.01,0.3020784193950337
75% Corpus,3,0.41000000000000003,0.21000000000000002,0.29569541936259575
75% Corpus,3,0.41000000000000003,0.41000000000000003,0.2900754853578911
75% Corpus,3,0.41000000000000003,0.6100000000000001,0.2737060690358525
75% Corpus,3,0.41000000000000003,0.81,0.2762569551532646
75% Corpus,3,0.41000000000000003,symmetric,0.2900754853578911
75% Corpus,3,0.6100000000000001,0.01,0.29838793525555246
75% Corpus,3,0.6100000000000001,0.21000000000000002,0.2928332179870445
75% Corpus,3,0.6100000000000001,0.41000000000000003,0.28831362733082966
75% Corpus,3,0.6100000000000001,0.6100000000000001,0.27796902786015193
75% Corpus,3,0.6100000000000001,0.81,0.27396238839710785
75% Corpus,3,0.6100000000000001,symmetric,0.28890084513100917
75% Corpus,3,0.81,0.01,0.28996538445032743
75% Corpus,3,0.81,0.21000000000000002,0.2920435213178968
75% Corpus,3,0.81,0.41000000000000003,0.28831362733082966
75% Corpus,3,0.81,0.6100000000000001,0.2859471606043094
75% Corpus,3,0.81,0.81,0.2759994792901552
75% Corpus,3,0.81,symmetric,0.2889008451310092
75% Corpus,3,symmetric,0.01,0.30269003415765855
75% Corpus,3,symmetric,0.21000000000000002,0.29209917430671445
75% Corpus,3,symmetric,0.41000000000000003,0.2878151974946575
75% Corpus,3,symmetric,0.6100000000000001,0.27615237742632887
75% Corpus,3,symmetric,0.81,0.28313241420703966
75% Corpus,3,symmetric,symmetric,0.2915186864365907
75% Corpus,3,asymmetric,0.01,0.2945555243113362
75% Corpus,3,asymmetric,0.21000000000000002,0.2904764924166661
75% Corpus,3,asymmetric,0.41000000000000003,0.2921027631701207
75% Corpus,3,asymmetric,0.6100000000000001,0.3289432749426262
75% Corpus,3,asymmetric,0.81,0.43190060079025355
75% Corpus,3,asymmetric,symmetric,0.2810997224654288
75% Corpus,4,0.01,0.01,0.2954304905017311
75% Corpus,4,0.01,0.21000000000000002,0.28884859670782864
75% Corpus,4,0.01,0.41000000000000003,0.2861677160726429
75% Corpus,4,0.01,0.6100000000000001,0.3068161717727519
75% Corpus,4,0.01,0.81,0.341778779125821
75% Corpus,4,0.01,symmetric,0.28892962774724923
75% Corpus,4,0.21000000000000002,0.01,0.2948213672540154
75% Corpus,4,0.21000000000000002,0.21000000000000002,0.29015404628172115
75% Corpus,4,0.21000000000000002,0.41000000000000003,0.2868573420149906
75% Corpus,4,0.21000000000000002,0.6100000000000001,0.30428005427007243
75% Corpus,4,0.21000000000000002,0.81,0.35262921235260714
75% Corpus,4,0.21000000000000002,symmetric,0.29164475657244104
75% Corpus,4,0.41000000000000003,0.01,0.2937967875133269
75% Corpus,4,0.41000000000000003,0.21000000000000002,0.2900797443617987
75% Corpus,4,0.41000000000000003,0.41000000000000003,0.29278591289993894
75% Corpus,4,0.41000000000000003,0.6100000000000001,0.288676660901825
75% Corpus,4,0.41000000000000003,0.81,0.3589837791796324
75% Corpus,4,0.41000000000000003,symmetric,0.2945031162600258
75% Corpus,4,0.6100000000000001,0.01,0.2980966924108548
75% Corpus,4,0.6100000000000001,0.21000000000000002,0.2915834006441629
75% Corpus,4,0.6100000000000001,0.41000000000000003,0.29713195060187103
75% Corpus,4,0.6100000000000001,0.6100000000000001,0.2713086001961953
75% Corpus,4,0.6100000000000001,0.81,0.34575264972252123
75% Corpus,4,0.6100000000000001,symmetric,0.2915834006441629
75% Corpus,4,0.81,0.01,0.2960831645343466
75% Corpus,4,0.81,0.21000000000000002,0.3006398291251686
75% Corpus,4,0.81,0.41000000000000003,0.2984410803129761
75% Corpus,4,0.81,0.6100000000000001,0.2806699466351477
75% Corpus,4,0.81,0.81,0.32064153059572387
75% Corpus,4,0.81,symmetric,0.30089740343912064
75% Corpus,4,symmetric,0.01,0.2985162493175542
75% Corpus,4,symmetric,0.21000000000000002,0.29015404628172115
75% Corpus,4,symmetric,0.41000000000000003,0.28796219130399187
75% Corpus,4,symmetric,0.6100000000000001,0.31439288639614144
75% Corpus,4,symmetric,0.81,0.3637530083365229
75% Corpus,4,symmetric,symmetric,0.289372812830295
75% Corpus,4,asymmetric,0.01,0.2941481408853144
75% Corpus,4,asymmetric,0.21000000000000002,0.29551945267236596
75% Corpus,4,asymmetric,0.41000000000000003,0.2769377525984747
75% Corpus,4,asymmetric,0.6100000000000001,0.42309595464743643
75% Corpus,4,asymmetric,0.81,0.458068265000503
75% Corpus,4,asymmetric,symmetric,0.29707371470705224
75% Corpus,5,0.01,0.01,0.2868392977039507
75% Corpus,5,0.01,0.21000000000000002,0.28725308077938744
75% Corpus,5,0.01,0.41000000000000003,0.29266698095189464
75% Corpus,5,0.01,0.6100000000000001,0.33759738973865155
75% Corpus,5,0.01,0.81,0.3977950015230289
75% Corpus,5,0.01,symmetric,0.2871073800852839
75% Corpus,5,0.21000000000000002,0.01,0.28682779975556744
75% Corpus,5,0.21000000000000002,0.21000000000000002,0.28148806582414165
75% Corpus,5,0.21000000000000002,0.41000000000000003,0.2922568748557906
75% Corpus,5,0.21000000000000002,0.6100000000000001,0.35617387154496827
75% Corpus,5,0.21000000000000002,0.81,0.43705447737753944
75% Corpus,5,0.21000000000000002,symmetric,0.27585883241593046
75% Corpus,5,0.41000000000000003,0.01,0.29155780604614556
75% Corpus,5,0.41000000000000003,0.21000000000000002,0.2799941296312941
75% Corpus,5,0.41000000000000003,0.41000000000000003,0.29360337944986675
75% Corpus,5,0.41000000000000003,0.6100000000000001,0.3725196642086656
75% Corpus,5,0.41000000000000003,0.81,0.43023215990216757
75% Corpus,5,0.41000000000000003,symmetric,0.27749797702385803
75% Corpus,5,0.6100000000000001,0.01,0.2871258265200976
75% Corpus,5,0.6100000000000001,0.21000000000000002,0.2810142987056845
75% Corpus,5,0.6100000000000001,0.41000000000000003,0.2958429808225375
75% Corpus,5,0.6100000000000001,0.6100000000000001,0.37106638871858316
75% Corpus,5,0.6100000000000001,0.81,0.4287235246753796
75% Corpus,5,0.6100000000000001,symmetric,0.28450227086261215
75% Corpus,5,0.81,0.01,0.28692715000565217
75% Corpus,5,0.81,0.21000000000000002,0.28635607109370864
75% Corpus,5,0.81,0.41000000000000003,0.27611463286574855
75% Corpus,5,0.81,0.6100000000000001,0.33243325853261646
75% Corpus,5,0.81,0.81,0.423452110093412
75% Corpus,5,0.81,symmetric,0.291216678737594
75% Corpus,5,symmetric,0.01,0.28682779975556744
75% Corpus,5,symmetric,0.21000000000000002,0.2788776569564047
