Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.81,0.81,0.30411106715720565
75% Corpus,3,0.81,symmetric,0.30467667504527224
75% Corpus,3,symmetric,0.01,0.2988412667200622
75% Corpus,3,symmetric,0.21000000000000002,0.30339302685733965
75% Corpus,3,symmetric,0.41000000000000003,0.30930892356713274
75% Corpus,3,symmetric,0.6100000000000001,0.30650713021426945
75% Corpus,3,symmetric,0.81,0.3067044419718785
75% Corpus,3,symmetric,symmetric,0.30304036162251785
75% Corpus,3,asymmetric,0.01,0.29584308299896767
75% Corpus,3,asymmetric,0.21000000000000002,0.2932901995247182
75% Corpus,3,asymmetric,0.41000000000000003,0.29073518970375595
75% Corpus,3,asymmetric,0.6100000000000001,0.26538005953153126
75% Corpus,3,asymmetric,0.81,0.33850387229870965
75% Corpus,3,asymmetric,symmetric,0.28692391197474065
75% Corpus,4,0.01,0.01,0.2947330688551882
75% Corpus,4,0.01,0.21000000000000002,0.2844513089779144
75% Corpus,4,0.01,0.41000000000000003,0.2924812340827159
75% Corpus,4,0.01,0.6100000000000001,0.37236007462302617
75% Corpus,4,0.01,0.81,0.37571964017856074
75% Corpus,4,0.01,symmetric,0.281884531148772
75% Corpus,4,0.21000000000000002,0.01,0.2887585328008473
75% Corpus,4,0.21000000000000002,0.21000000000000002,0.2826986476302627
75% Corpus,4,0.21000000000000002,0.41000000000000003,0.27324323275337775
75% Corpus,4,0.21000000000000002,0.6100000000000001,0.37700822787900473
75% Corpus,4,0.21000000000000002,0.81,0.3965082541792889
75% Corpus,4,0.21000000000000002,symmetric,0.28269864763026276
75% Corpus,4,0.41000000000000003,0.01,0.2805718771814209
75% Corpus,4,0.41000000000000003,0.21000000000000002,0.27939937452495867
75% Corpus,4,0.41000000000000003,0.41000000000000003,0.2880034782122618
75% Corpus,4,0.41000000000000003,0.6100000000000001,0.34728607785181587
75% Corpus,4,0.41000000000000003,0.81,0.3848806953280479
75% Corpus,4,0.41000000000000003,symmetric,0.27697410790915616
75% Corpus,4,0.6100000000000001,0.01,0.2836564541833819
75% Corpus,4,0.6100000000000001,0.21000000000000002,0.2860756486283016
75% Corpus,4,0.6100000000000001,0.41000000000000003,0.29211547523664344
75% Corpus,4,0.6100000000000001,0.6100000000000001,0.2855402317030741
75% Corpus,4,0.6100000000000001,0.81,0.3781406659233173
75% Corpus,4,0.6100000000000001,symmetric,0.2894562563174401
75% Corpus,4,0.81,0.01,0.2813248041119373
75% Corpus,4,0.81,0.21000000000000002,0.2847550895165387
75% Corpus,4,0.81,0.41000000000000003,0.2879518379323002
75% Corpus,4,0.81,0.6100000000000001,0.2799080229660347
75% Corpus,4,0.81,0.81,0.37728532646754775
75% Corpus,4,0.81,symmetric,0.2811631113531261
75% Corpus,4,symmetric,0.01,0.2887585328008473
